data_structure,database,workload,threads,file_path,date_parsed,load_throughput_ops_sec,load_runtime_ms,load_insert_count,load_insert_avg_latency_us,load_insert_95p_latency_us,load_insert_99p_latency_us,run_throughput_ops_sec,run_runtime_ms,run_read_count,run_read_avg_latency_us,run_read_95p_latency_us,run_read_99p_latency_us,run_update_count,run_update_avg_latency_us,run_update_95p_latency_us,run_update_99p_latency_us,run_gc_count,run_gc_time_ms,run_gc_time_percentage,run_insert_count,run_insert_avg_latency_us,run_insert_95p_latency_us,run_insert_99p_latency_us,run_scan_count,run_scan_avg_latency_us,run_scan_95p_latency_us,run_scan_99p_latency_us
btree,mongodb,balanced,1,benchmarks/results/raw/btree/mongodb/balanced/mongodb_balanced_1threads.txt,2025-06-03T19:01:59.376745,16281.341582546402,6142.0,100000.0,57.93263,82.0,133.0,13974.287311347121,7156.0,50005.0,64.60521947805219,92.0,164.0,49995.0,70.92777277727772,99.0,168.0,13.0,28.0,0.3912800447177194,,,,,,,,
btree,mongodb,balanced,4,benchmarks/results/raw/btree/mongodb/balanced/mongodb_balanced_4threads.txt,2025-06-03T19:01:59.377064,37523.4521575985,2665.0,100000.0,95.45997,128.0,164.0,36805.2999631947,2717.0,49927.0,94.5645041760971,152.0,245.0,50073.0,100.03297186108281,152.0,227.0,12.0,25.0,0.9201324990798674,,,,,,,,
btree,mongodb,balanced,8,benchmarks/results/raw/btree/mongodb/balanced/mongodb_balanced_8threads.txt,2025-06-03T19:01:59.377899,45475.21600727604,2199.0,100000.0,155.53458,231.0,431.0,48169.55684007707,2076.0,49630.0,141.0007455168245,268.0,525.0,50370.0,150.1861226920786,286.0,514.0,11.0,25.0,1.2042389210019269,,,,,,,,
btree,mongodb,balanced,16,benchmarks/results/raw/btree/mongodb/balanced/mongodb_balanced_16threads.txt,2025-06-03T19:01:59.377466,52137.64337851929,1918.0,100000.0,267.58105,463.0,677.0,51413.88174807198,1945.0,49886.0,267.5856953854789,574.0,935.0,50114.0,282.8599592928124,589.0,948.0,12.0,26.0,1.3367609254498714,,,,,,,,
btree,mongodb,range_query,1,benchmarks/results/raw/btree/mongodb/range_query/mongodb_range_query_1threads.txt,2025-06-03T19:01:59.383389,18003.744778914013,55544.0,1000000.0,54.322978,69.0,99.0,4362.925603392611,229204.0,,,,,,,,,1625.0,904.0,0.39440847454669203,49667.0,93.85600096643647,143.0,198.0,950333.0,234.74303849282305,380.0,466.0
btree,mongodb,range_query,4,benchmarks/results/raw/btree/mongodb/range_query/mongodb_range_query_4threads.txt,2025-06-03T19:01:59.382930,45531.12052087602,21963.0,1000000.0,85.565151,118.0,151.0,14557.31213788686,68694.0,,,,,,,,,1057.0,675.0,0.9826185693073631,50122.0,109.90559035952276,153.0,215.0,949878.0,281.10339959447424,448.0,531.0
btree,mongodb,range_query,8,benchmarks/results/raw/btree/mongodb/range_query/mongodb_range_query_8threads.txt,2025-06-03T19:01:59.381735,68394.77463921756,14621.0,1000000.0,113.545747,170.0,231.0,23965.2982481367,41727.0,,,,,,,,,789.0,565.0,1.3540393510197235,50126.0,147.16320871404062,229.0,418.0,949874.0,340.0075031004112,561.0,946.0
btree,mongodb,range_query,16,benchmarks/results/raw/btree/mongodb/range_query/mongodb_range_query_16threads.txt,2025-06-03T19:01:59.382404,72092.85559801024,13871.0,1000000.0,216.526413,407.0,584.0,25829.78173834431,38715.0,,,,,,,,,1010.0,749.0,1.9346506522019888,50057.0,397.7382184309887,836.0,1229.0,949943.0,625.0712948040041,1148.0,1571.0
btree,mongodb,read_heavy,1,benchmarks/results/raw/btree/mongodb/read_heavy/mongodb_read_heavy_1threads.txt,2025-06-03T19:01:59.380916,15913.430935709739,6284.0,100000.0,58.88827,85.0,138.0,14382.281029771322,6953.0,89908.0,63.36633002624905,94.0,188.0,10092.0,87.0687673404677,149.0,271.0,16.0,34.0,0.4889975550122249,,,,,,,,
btree,mongodb,read_heavy,4,benchmarks/results/raw/btree/mongodb/read_heavy/mongodb_read_heavy_4threads.txt,2025-06-03T19:01:59.381319,38505.96842510589,2597.0,100000.0,93.69076,126.0,183.0,35868.00573888092,2788.0,89960.0,98.54848821698533,164.0,241.0,10040.0,121.54970119521913,192.0,270.0,15.0,33.0,1.1836441893830703,,,,,,,,
btree,mongodb,read_heavy,8,benchmarks/results/raw/btree/mongodb/read_heavy/mongodb_read_heavy_8threads.txt,2025-06-03T19:01:59.380587,47103.15591144607,2123.0,100000.0,149.665,219.0,323.0,49431.537320810676,2023.0,90040.0,139.81334962239004,254.0,439.0,9960.0,162.90803212851407,301.0,476.0,14.0,30.0,1.4829461196243203,,,,,,,,
btree,mongodb,read_heavy,16,benchmarks/results/raw/btree/mongodb/read_heavy/mongodb_read_heavy_16threads.txt,2025-06-03T19:01:59.380144,50709.93914807302,1972.0,100000.0,276.84718,482.0,697.0,45537.34061930783,2196.0,89961.0,312.06517268594166,673.0,1054.0,10039.0,334.2517182986353,703.0,1021.0,14.0,33.0,1.5027322404371584,,,,,,,,
btree,mongodb,write_heavy,1,benchmarks/results/raw/btree/mongodb/write_heavy/mongodb_write_heavy_1threads.txt,2025-06-03T19:01:59.378866,16641.704110500916,6009.0,100000.0,56.51868,78.0,131.0,14172.33560090703,7056.0,9953.0,76.86426203154828,136.0,217.0,49816.0,69.9309057330978,100.0,165.0,10.0,20.0,0.2834467120181406,40231.0,60.18818821306952,94.0,149.0,,,,
btree,mongodb,write_heavy,4,benchmarks/results/raw/btree/mongodb/write_heavy/mongodb_write_heavy_4threads.txt,2025-06-03T19:01:59.378438,34530.386740331494,2896.0,100000.0,104.99709,140.0,340.0,35612.53561253561,2808.0,10070.0,116.60734856007944,157.0,275.0,49826.0,106.1856059085618,143.0,210.0,10.0,22.0,0.7834757834757835,40104.0,90.42404747656094,130.0,191.0,,,,
btree,mongodb,write_heavy,8,benchmarks/results/raw/btree/mongodb/write_heavy/mongodb_write_heavy_8threads.txt,2025-06-03T19:01:59.379703,48756.70404680644,2051.0,100000.0,143.96646,216.0,332.0,45269.35264825713,2209.0,9928.0,174.98086220789685,266.0,504.0,50014.0,165.7034030471468,260.0,431.0,10.0,32.0,1.448619284744228,40058.0,140.46190523740577,232.0,396.0,,,,
